customer_id,signup_date,country,city,gender,age,membership_tier,tenure_months,avg_session_length,sessions_per_month,support_tickets,last_payment_method,is_mobile_user,num_devices,email_click_rate,referral_count,discount_rate,satisfaction_score,monthly_spend,churn,total_session_time,complaint_rate,clicks_per_session,device_per_session,referral_per_month,loyalty_score,engagement_index,referral_value_score,discount_sensitivity,mobile_loyalty_flag,signup_month,signup_dayofweek
100000,2025-02-24,malaysia,kuala lumpur,other,39,standard,8,21.51,21,0,credit card,True,2,0.315,0,0.138,6.9,44.62,0,451.71000000000004,0.0,0.0149992857482977,0.09523356030665206,0.0,55.2,3116.7990000000004,0.0,0.0,1,2,0
100001,2021-04-24,philippines,cebu,male,51,basic,55,19.6,16,1,paypal,False,2,0.224,0,0.0,5.7,54.71,0,313.6,0.018181487609316194,0.013999125054684081,0.12499218798825072,0.0,313.5,1787.5200000000002,0.0,0.0,0,4,5
100002,2019-05-29,thailand,phuket,female,29,standard,78,31.98,18,0,credit card,True,5,0.053,0,0.112,6.3,22.4,0,575.64,0.0,0.0029442808732848174,0.2777623465363035,0.0,491.4,3626.5319999999997,0.0,0.0,1,5,2
100003,2018-01-01,indonesia,jakarta,female,43,standard,95,12.71,19,2,credit card,False,3,0.231,1,0.117,7.3,63.13,0,241.49,0.021052409974631845,0.012157254881322035,0.1578864270301563,0.010526204987315923,693.5,1762.877,7.3,0.0,0,1,0
100004,2021-06-16,malaysia,shah alam,male,51,standard,53,3.0,15,1,unknown,True,3,0.036,0,0.114,5.8,33.28,0,45.0,0.01886756853644271,0.0023998400106659554,0.1999866675554963,0.0,307.4,261.0,0.0,0.0,1,6,2
100005,2020-12-14,malaysia,johor bahru,female,41,basic,59,21.01,18,1,debit card,True,3,0.28,0,0.123,6.5,40.72,0,378.18,0.01694886527346994,0.015554691406032998,0.1666574079217821,0.0,383.5,2458.17,0.0,0.0,1,12,0
100006,2022-01-11,malaysia,shah alam,other,44,standard,46,26.96,12,1,debit card,True,1,0.153,0,0.116,5.7,72.88,0,323.52,0.021738657855264017,0.012748937588534289,0.08332638946754438,0.0,262.2,1844.0639999999999,0.0,0.0,1,1,1
100007,2018-12-04,vietnam,unknown,male,21,basic,84,17.91,21,0,credit card,True,3,0.104,1,0.086,8.0,43.91,0,376.11,0.0,0.004952145135945907,0.14285034045997808,0.011904620183093058,672.0,3008.88,8.0,0.0,1,12,1
100008,2021-02-01,indonesia,medan,male,27,premium,58,7.31,17,2,unknown,False,3,0.196,1,0.152,6.6,36.22,0,124.27,0.03448216410061895,0.011528733603905652,0.1764602082230457,0.017241082050309477,382.79999999999995,820.1819999999999,6.6,0.0,0,2,0
100009,2024-07-20,thailand,bangkok,other,48,standard,15,27.2,15,1,debit card,True,3,0.087,0,0.103,3.0,62.61,0,408.0,0.06666222251849876,0.005799613359109393,0.1999866675554963,0.0,45.0,1224.0,0.0,0.0,1,7,5
100010,2020-09-03,malaysia,ipoh,female,44,basic,63,18.44,16,0,credit card,True,2,0.316,0,0.025,5.1,72.05,0,295.04,0.0,0.019748765702143616,0.12499218798825072,0.0,321.29999999999995,1504.704,0.0,0.0,1,9,3
100011,2020-06-01,brunei,seria,male,39,standard,66,23.8,16,0,debit card,True,3,0.195,0,0.051,4.4,72.28,0,380.8,0.0,0.012186738328854446,0.18748828198237608,0.0,290.40000000000003,1675.5200000000002,0.0,0.0,1,6,0
100012,2024-02-24,vietnam,ho chi minh,male,33,premium,20,19.64,22,0,credit card,False,2,0.118,1,0.156,8.0,61.29,0,432.08000000000004,0.0,0.00536339257306486,0.0909049588655061,0.049997500124993745,160.0,3456.6400000000003,8.0,0.0,0,2,5
100013,2020-11-03,malaysia,ipoh,male,38,basic,61,4.32,17,0,bank transfer,True,2,0.547,0,0.037,6.6,57.35,0,73.44,0.0,0.032174577966002,0.1176401388153638,0.0,402.59999999999997,484.70399999999995,0.0,0.0,1,11,1
100014,2022-08-31,malaysia,kuala lumpur,female,51,basic,38,24.6,18,2,credit card,False,2,0.294,1,0.031,5.9,48.92,0,442.8,0.05263019394226468,0.016332425976334646,0.1111049386145214,0.02631509697113234,224.20000000000002,2612.5200000000004,5.9,0.0,0,8,2
100015,2020-05-21,malaysia,shah alam,male,34,standard,66,26.55,18,0,credit card,True,3,0.236,0,0.106,7.5,65.96,0,477.90000000000003,0.0,0.013110382756513526,0.1666574079217821,0.0,495.0,3584.2500000000005,0.0,0.0,1,5,3
100016,2025-02-02,malaysia,penang,female,41,basic,9,20.44,13,1,credit card,True,1,0.182,1,0.057,5.5,65.15,0,265.72,0.11109876680368849,0.013998923159756942,0.07691716021844473,0.11109876680368849,49.5,1461.46,5.5,0.0,1,2,6
100017,2019-04-02,indonesia,surabaya,female,41,basic,80,12.98,16,0,credit card,True,4,0.077,0,0.04,7.9,35.96,0,207.68,0.0,0.004812199237547653,0.24998437597650144,0.0,632.0,1640.672,0.0,0.0,1,4,1
100018,2022-03-30,singapore,yishun,male,29,standard,44,36.71,13,0,credit card,True,3,0.237,0,0.109,3.8,40.36,0,477.23,0.0,0.018229366971771403,0.2307514806553342,0.0,167.2,1813.474,0.0,0.0,1,3,2
100019,2025-08-29,malaysia,ipoh,male,30,standard,2,25.12,19,3,bank transfer,True,5,0.465,0,0.024,3.2,41.17,0,477.28000000000003,1.4992503748125938,0.024472396189674228,0.2631440450502605,0.0,6.4,1527.2960000000003,0.0,0.0,1,8,4
100020,2019-01-01,indonesia,bandung,female,49,premium,83,11.07,24,2,debit card,True,2,0.243,0,0.164,9.2,102.44,0,265.68,0.02409609522776834,0.010124578142577391,0.083329861255781,0.0,763.5999999999999,2444.256,0.0,0.0,1,1,1
100021,2024-09-14,malaysia,kuala lumpur,male,40,basic,14,40.4,26,0,e-wallet,False,2,0.215,0,0.062,7.4,82.87,0,1050.3999999999999,0.0,0.00826891273412561,0.07692011845698242,0.0,103.60000000000001,7772.959999999999,0.0,0.0,0,9,5
100022,2025-03-06,malaysia,johor bahru,male,29,basic,8,17.11,11,1,e-wallet,True,3,0.188,0,0.054,5.6,5.0,0,188.20999999999998,0.1249843769528809,0.01708935551313517,0.2727024815925825,0.0,44.8,1053.9759999999999,0.0,0.0,1,3,3
100023,2024-12-04,malaysia,penang,female,32,standard,11,32.66,19,1,e-wallet,True,3,0.458,0,0.061,4.7,83.67,0,620.54,0.0909008271975275,0.02410399452660386,0.1578864270301563,0.0,51.7,2916.538,0.0,0.0,1,12,2
100024,2023-11-28,singapore,woodlands,male,26,standard,23,27.24,13,0,credit card,True,2,0.023,0,0.103,7.2,46.7,0,354.12,0.0,0.0017690946850242289,0.15383432043688947,0.0,165.6,2549.664,0.0,0.0,1,11,1
100025,2024-09-19,thailand,phuket,male,45,standard,13,24.84,13,0,bank transfer,True,5,0.207,0,0.108,3.8,40.31,0,322.92,0.0,0.01592185216521806,0.3845858010922237,0.0,49.4,1227.096,0.0,0.0,1,9,3
100026,2024-06-14,malaysia,ipoh,male,33,basic,17,33.12,14,1,credit card,False,4,0.079,0,0.04,5.5,38.82,0,463.67999999999995,0.0588200694076819,0.005642454110420685,0.28569387900864224,0.0,93.5,2550.24,0.0,0.0,0,6,4
100027,2018-06-09,singapore,tampines,male,33,basic,90,7.42,19,0,debit card,True,5,0.245,0,0.065,5.6,9.15,1,140.98,0.0,0.012894058207462764,0.2631440450502605,0.0,503.99999999999994,789.4879999999999,0.0,0.065,0,6,5
100028,2020-04-23,indonesia,denpasar,female,43,standard,67,26.58,25,1,bank transfer,True,5,0.431,1,0.002,4.9,73.17,0,664.5,0.014925150370889985,0.017239310427582897,0.19999200031998718,0.014925150370889985,328.3,3256.05,4.9,0.0,1,4,3
100029,2023-10-04,malaysia,ipoh,female,20,standard,25,19.3,14,2,credit card,True,3,0.091,1,0.071,4.7,61.49,0,270.2,0.07999680012799487,0.006499535747446611,0.2142704092564817,0.039998400063997436,117.5,1269.94,4.7,0.0,1,10,2
100030,2025-09-09,indonesia,denpasar,female,35,basic,2,41.25,10,1,credit card,True,5,0.446,1,0.12,3.9,47.33,0,412.5,0.49975012493753124,0.04459554044595541,0.4999500049995001,0.49975012493753124,7.8,1608.75,3.9,0.0,1,9,1
100031,2023-06-23,malaysia,kuala lumpur,female,35,basic,28,6.56,17,1,paypal,True,7,0.379,1,0.032,5.6,50.35,0,111.52,0.03571301024963394,0.022292806305511437,0.41174048585377326,0.03571301024963394,156.79999999999998,624.512,5.6,0.0,1,6,4
100032,2024-04-22,malaysia,ipoh,male,32,premium,18,24.5,21,0,credit card,True,5,0.149,0,0.103,6.8,223.1386734785758,0,514.5,0.0,0.007094900242845578,0.23808390076663014,0.0,122.39999999999999,3498.6,0.0,0.0,1,4,0
100033,2025-01-25,philippines,quezon city,other,30,vip,9,25.06,18,1,paypal,True,4,0.182,0,0.052,5.8,68.33,0,451.08,0.11109876680368849,0.010110549413921447,0.2222098772290428,0.0,52.199999999999996,2616.2639999999997,0.0,0.0,1,1,5
100034,2024-10-05,brunei,tutong,male,29,basic,13,17.2,20,0,credit card,False,1,0.31,0,0.0,6.0,50.96,0,344.0,0.0,0.015499225038748062,0.049997500124993745,0.0,78.0,2064.0,0.0,0.0,0,10,5
100035,2022-06-27,vietnam,da nang,male,38,basic,41,19.93,14,1,e-wallet,True,3,0.1,0,0.125,5.9,28.58,0,279.02,0.024389649032950416,0.007142346975216056,0.2142704092564817,0.0,241.9,1646.218,0.0,0.0,1,6,0
100036,2024-04-30,malaysia,ipoh,other,26,basic,18,18.3,13,1,debit card,True,2,0.563,1,0.067,2.4,35.17,0,237.9,0.0555524693072607,0.043304361202984386,0.15383432043688947,0.0555524693072607,43.199999999999996,570.96,2.4,0.0,1,4,1
100037,2025-08-27,malaysia,ipoh,female,36,basic,2,14.23,19,0,bank transfer,True,2,0.222,0,0.037,5.6,85.35,0,270.37,0.0,0.011683595600231566,0.1052576180201042,0.0,11.2,1514.072,0.0,0.0,1,8,2
100038,2018-08-21,thailand,chiang mai,male,30,basic,87,14.55,24,0,paypal,True,4,0.171,0,0.089,8.4,42.25,0,349.20000000000005,0.0,0.007124703137369276,0.166659722511562,0.0,730.8000000000001,2933.2800000000007,0.0,0.0,1,8,1
100039,2025-06-20,singapore,central,male,31,basic,4,20.72,16,1,e-wallet,False,3,0.076,0,0.145,6.4,57.31,0,331.52,0.2499375156210947,0.004749703143553528,0.18748828198237608,0.0,25.6,2121.728,0.0,0.0,0,6,4
100040,2018-08-21,malaysia,johor bahru,male,37,standard,87,27.4,19,1,debit card,False,6,0.059,1,0.035,5.9,52.17,0,520.6,0.011494120757232674,0.0031050997315930735,0.3157728540603126,0.011494120757232674,513.3000000000001,3071.5400000000004,5.9,0.0,0,8,1
100041,2019-07-12,singapore,yishun,male,31,standard,77,16.76,14,0,credit card,True,3,0.498,1,0.09,4.5,79.0,0,234.64000000000001,0.0,0.03556888793657596,0.2142704092564817,0.012986844326697056,346.5,1055.88,4.5,0.0,1,7,4
100042,2025-06-21,malaysia,penang,male,46,premium,4,3.29,18,1,debit card,True,1,0.245,0,0.15,6.8,20.01,0,59.22,0.2499375156210947,0.013610354980278872,0.0555524693072607,0.0,27.2,402.69599999999997,0.0,0.0,1,6,5
100043,2023-05-04,philippines,manila,female,34,standard,30,21.25,24,0,e-wallet,True,1,0.291,1,0.038,7.4,64.11,0,510.0,0.0,0.012124494812716135,0.0416649306278905,0.033332222259258026,222.0,3774.0,7.4,0.0,1,5,3
100044,2021-12-30,malaysia,johor bahru,female,44,basic,46,24.27,25,1,bank transfer,True,4,0.296,0,0.14,6.3,47.68,0,606.75,0.021738657855264017,0.01183952641894324,0.15999360025598974,0.0,289.8,3822.525,0.0,0.0,1,12,3
100045,2018-12-01,indonesia,surabaya,female,28,basic,84,20.05,19,0,debit card,True,4,0.492,1,0.115,7.1,40.82,0,380.95,0.0,0.025893374032945633,0.2105152360402084,0.011904620183093058,596.4,2704.745,7.1,0.0,1,12,5
100046,2024-09-17,malaysia,ipoh,male,28,premium,13,22.34,20,0,bank transfer,True,2,0.292,1,0.063,7.0,65.95,0,446.8,0.0,0.014599270036498174,0.09999500024998749,0.07691716021844473,91.0,3127.6,7.0,0.0,1,9,1
100047,2018-09-13,indonesia,surabaya,male,20,premium,87,29.37,18,0,paypal,True,4,0.479,0,0.048,5.9,66.85,0,528.66,0.0,0.026609632798177876,0.2222098772290428,0.0,513.3000000000001,3119.094,0.0,0.0,1,9,3
100048,2020-12-25,indonesia,bandung,female,31,standard,59,21.45,13,0,e-wallet,True,3,0.252,0,0.079,7.5,59.5,0,278.84999999999997,0.0,0.019383124375048074,0.2307514806553342,0.0,442.5,2091.3749999999995,0.0,0.0,1,12,4
100049,2020-02-11,malaysia,johor bahru,other,33,basic,69,28.53,19,1,credit card,True,3,0.071,0,0.118,5.8,57.07,0,542.07,0.014492543586324834,0.003736645439713699,0.1578864270301563,0.0,400.2,3144.0060000000003,0.0,0.0,1,2,1
100050,2020-08-03,brunei,tutong,female,36,premium,64,24.48,11,0,credit card,True,3,0.167,0,0.117,5.0,57.26,0,269.28000000000003,0.0,0.015180438141987093,0.2727024815925825,0.0,320.0,1346.4,0.0,0.0,1,8,0
100051,2021-01-16,thailand,chiang mai,female,41,basic,58,14.48,19,0,credit card,False,4,0.158,0,0.087,7.0,54.8,0,275.12,0.0,0.008315351823588231,0.2105152360402084,0.0,406.0,1925.8400000000001,0.0,0.0,0,1,5
100052,2018-11-07,philippines,manila,female,41,basic,85,30.93,26,0,paypal,False,2,0.125,0,0.116,10.0,69.64,0,804.18,0.0,0.004807507403561401,0.07692011845698242,0.0,850.0,8041.799999999999,0.0,0.0,0,11,2
100053,2022-05-14,philippines,manila,female,45,premium,42,11.22,24,0,paypal,False,6,0.289,0,0.074,6.3,64.86,0,269.28000000000003,0.0,0.012041164951460355,0.249989583767343,0.0,264.59999999999997,1696.4640000000002,0.0,0.0,0,5,5
100054,2025-06-22,indonesia,denpasar,male,27,premium,4,5.27,16,1,paypal,True,2,0.5,0,0.023,4.5,90.09,0,84.32,0.2499375156210947,0.03124804699706268,0.12499218798825072,0.0,18.0,379.43999999999994,0.0,0.0,1,6,6
100055,2021-07-05,philippines,baguio,female,35,standard,52,22.8,13,3,unknown,True,6,0.379,1,0.0,4.0,66.27,0,296.40000000000003,0.057691198246187576,0.029151603722790555,0.4615029613106684,0.01923039941539586,208.0,1185.6000000000001,4.0,0.0,1,7,0
100056,2022-05-01,malaysia,shah alam,male,26,basic,42,26.79,16,1,debit card,False,2,0.245,0,0.016,5.1,68.01,0,428.64,0.023808956929596916,0.015311543028560713,0.12499218798825072,0.0,214.2,2186.064,0.0,0.0,0,5,6
100057,2023-12-17,malaysia,kuala lumpur,male,39,standard,23,21.94,18,2,credit card,True,4,0.213,0,0.043,6.4,62.88,0,394.92,0.08695274118516585,0.01183267596244653,0.2222098772290428,0.0,147.20000000000002,2527.4880000000003,0.0,0.0,1,12,6
100058,2025-09-29,malaysia,kuala lumpur,female,51,standard,1,12.34,12,2,bank transfer,True,2,0.13,0,0.0,4.2,47.32,0,148.07999999999998,1.9980019980019983,0.010832430630780768,0.16665277893508876,0.0,4.2,621.9359999999999,0.0,0.0,1,9,0
100059,2024-07-01,malaysia,kuala lumpur,male,24,standard,16,23.17,18,1,credit card,False,2,0.447,1,0.118,5.0,30.76,0,417.06000000000006,0.06249609399412536,0.024831953780345535,0.1111049386145214,0.06249609399412536,80.0,2085.3,5.0,0.0,0,7,0
100060,2020-02-29,malaysia,kuala lumpur,male,41,standard,69,8.71,18,1,e-wallet,True,3,0.488,0,0.108,5.0,55.66,0,156.78000000000003,0.014492543586324834,0.027109605021943223,0.1666574079217821,0.0,345.0,783.9000000000001,0.0,0.0,1,2,5
